Time (s),Threads,TPS,QPS,Read QPS,Write QPS,Other QPS,Latency 99% (ms),Errors/s,Reconnects/s
10,10,24.8,513.11,360.03,102.48,50.59,1836.24,0.0,0.0
20,10,26.0,520.93,365.12,103.81,52.0,1771.29,0.0,0.0
30,10,19.1,382.9,267.4,77.3,38.2,1678.14,0.0,0.0
40,10,23.9,474.9,333.0,94.1,47.8,1506.29,0.0,0.0
50,10,21.5,426.89,299.79,84.1,43.0,2009.23,0.0,0.0
60,10,21.3,428.21,299.21,86.4,42.6,1836.24,0.0,0.0
