Time (s),Threads,TPS,QPS,Read QPS,Write QPS,Other QPS,Latency 99% (ms),Errors/s,Reconnects/s
10,20,242.47,4898.75,3437.64,972.98,488.13,262.64,1.19,0.0
20,20,239.58,4788.67,3351.8,957.41,479.46,272.27,0.3,0.0
30,20,233.28,4670.91,3270.13,933.82,466.96,240.02,0.4,0.0
40,20,236.42,4736.41,3317.82,945.16,473.43,253.35,0.6,0.0
50,20,227.5,4571.17,3203.68,911.79,455.7,235.74,0.7,0.0
60,20,231.2,4628.64,3240.36,924.99,463.29,267.41,0.9,0.0
