Time (s),Threads,TPS,QPS,Read QPS,Write QPS,Other QPS,Latency 99% (ms),Errors/s,Reconnects/s
10,15,25.49,530.63,374.28,103.87,52.48,2238.47,0.0,0.0
20,15,16.6,326.38,227.19,66.0,33.2,2279.14,0.0,0.0
30,15,21.0,432.25,302.84,87.41,42.01,1938.16,0.0,0.0
40,15,21.5,431.1,301.0,87.1,43.0,2362.72,0.0,0.0
50,15,17.3,345.3,241.9,68.8,34.6,2449.36,0.0,0.0
60,15,17.9,353.49,248.59,69.1,35.8,2728.81,0.0,0.0
